users,pair,weight
true_solidarity,energy-truth,2
true_solidarity,energy-nsa,3
true_solidarity,energy-revolution,2
true_solidarity,energy-government,1
true_solidarity,energy-fracking,4
true_solidarity,energy-lookup,1
true_solidarity,energy-science,4
true_solidarity,energy-tech,4
true_solidarity,energy-srm,4
true_solidarity,energy-solar,1
true_solidarity,energy-usaf,1
true_solidarity,energy-illuminati,1
true_solidarity,energy-greatlakes,2
true_solidarity,energy-fukushima,1
true_solidarity,cia-sun,2
true_solidarity,cia-sunset,3
true_solidarity,cia-geoengineering,4
true_solidarity,cia-climatechange,4
true_solidarity,cia-haarp,4
true_solidarity,cia-nexrad,1
true_solidarity,cia-uk,3
true_solidarity,cia-weathermanipulation,1
true_solidarity,cia-weather,4
true_solidarity,cia-nasa,2
true_solidarity,cia-nwo,4
true_solidarity,cia-obama,2
true_solidarity,cia-drought,1
true_solidarity,cia-poison,1
true_solidarity,cia-news,1
true_solidarity,cia-monsanto,1
true_solidarity,cia-gmo,3
true_solidarity,cia-infowars,4
